,PLC,Huh7,name,Fold_change
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,,,Exchange of (Gal)3 (Glc)1 (GlcNac)2 (LFuc)3 (Cer)1 ,
EX_fucfucgalacglcgalgluside_hs_e,,,Exchange of Leb Glycolipid ,
EX_fucgal14acglcgalgluside_hs_e,,,Exchange of Lacto-N-Fucopentaosyl Iii Ceramide ,
EX_fucgalfucgalacglcgalgluside_hs_e,,,Exchange of (Gal)3 (Glc)1 (GlcNac)1 (LFuc)2 (Cer)1 ,
EX_fucgalgbside_hs_e,,,Exchange of Fucosyl Galactosylgloboside (Homo Sapiens) ,
EX_fuc_L_e,,,Exchange of L-Fucose ,
EX_galacglcgalgbside_hs_e,,,Exchange of Gal-GlcNac-Gal Globoside (Homo Sapiens) ,
EX_galfuc12gal14acglcgalgluside_hs_e,,,Exchange of (Gal)3 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1 ,
EX_galfucgalacglcgal14acglcgalgluside_hs_e,,,Exchange of (Gal)4 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1 ,
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,,,Exchange of (Gal)6 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1 ,
EX_galgalgalthcrm_hs_e,,,Exchange of Gal-Gal-Gal-Gal-Gal-Glc-Cer (Homo Sapiens) ,
EX_gbside_hs_e,,,Exchange of Globoside (Homo Sapiens) ,
EX_gchola_e,,,Exchange of Glycocholate ,
EX_gd1b2_hs_e,,,Exchange of Gd1Beta (Homo Sapiens) ,
EX_gd1c_hs_e,,,Exchange of Gd1C (Homo Sapiens) ,
EX_gdp_e,,,Exchange of GDP ,
EX_gluala_e,,,Exchange of 5-L-Glutamyl-L-Alanine ,
EX_glyc_S_e,,,Exchange of (S)-Glycerate ,
EX_glygn2_e,,,"Exchange of Glycogen, Structure 2 (Glycogenin-1, 6-{7[1, 4-Glc], 4[1, 4-Glc]}) ",
EX_glygn4_e,,,"Exchange of Glycogen, Structure 4 (Glycogenin-1, 6-{2[1, 4-Glc], [1, 4-Glc]})",
EX_glygn5_e,,,"Exchange of Glycogen, Structure 5 (Glycogenin-2[1, 4-Glc])",
EX_gmp_e,,,Exchange of GMP ,
EX_gp1c_hs_e,,,Exchange of Gp1C (Homo Sapiens) ,
EX_gp1calpha_hs_e,,,Exchange of Gp1C Alpha (Homo Sapiens) ,
EX_gq1b_hs_e,,,Exchange of Gq1B (Homo Sapiens) ,
EX_gq1balpha_hs_e,,,Exchange of Gq1Balpha (Homo Sapiens) ,
EX_gsn_e,,,Exchange of Guanosine,
EX_gt1a_hs_e,,,Exchange of Gt1A (Homo Sapiens) ,
EX_gthox_e,,,Exchange of Oxidized Glutathione ,
EX_gthrd_e,,,Exchange of Reduced Glutathione ,
EX_gtp_e,,,Exchange of GTP ,
EX_h2o2_e,,,Exchange of Hydrogen Peroxide ,
EX_ha_e,,,Exchange of Hyaluronan ,
EX_ha_pre1_e,,,"Exchange of Hyaluronan Biosynthesis, Precursor 1 ",
EX_hco3_e,,,Exchange of Bicarbonate ,
EX_hcoumarin_e,,,Exchange of Hydroxy Coumarin ,
EX_hdca_e,,,Exchange of Hexadecanoate (N-C16:0) ,
EX_hdcea_e,,,Exchange of Hexadecenoate (N-C16:1),
EX_hestratriol_e,,,"Exchange of 4, 17 Dihydroxy Estradiol ",
EX_hexc_e,,,Exchange of Hexacosanoate (N-C26:0) ,
EX_hista_e,,,Exchange of Histamine ,
EX_hom_L_e,,,Exchange of L-Homoserine ,
EX_hpdca_e,,,Exchange of Heptadecanoate ,
EX_hspg_e,,,Exchange of Heparan Sulfate Proteoglycan ,
EX_htaxol_e,,,Exchange of Hydroxylated Taxol ,
EX_i_e,,,Exchange of Iodide ,
EX_idp_e,,,Exchange of IDP ,
EX_imp_e,,,Exchange of IMP ,
EX_inost_e,,,Exchange of Myo-Inositol ,
EX_ksi_e,,,Exchange of Keratan Sulfate I ,
EX_ksi_deg1_e,,,"Exchange of Keratan Sulfate I, Degradation Product 1 ",
EX_ksii_core2_e,,,Exchange of Keratan Sulfate Ii (Core 2-Linked) ,
EX_ksii_core4_e,,,Exchange of Keratan Sulfate Ii (Core 4-Linked) ,
EX_lac_D_e,,,Exchange of D-Lactate ,
EX_Lcystin_e,,,Exchange of L-Cystine ,
EX_leuktrA4_e,,,Exchange of Leukotriene A4 ,
EX_leuktrB4_e,,,Exchange of Leukotriene B4 ,
EX_leuktrC4_e,,,Exchange of Leukotriene C4 ,
EX_leuktrD4_e,,,Exchange of Leukotriene D4 ,
EX_leuktrE4_e,,,Exchange of Leukotriene E4 ,
EX_leuktrF4_e,,,Exchange of Leukotriene F4 ,
EX_lgnc_e,,,Exchange of Lignoceric Acid ,
EX_limnen_e,,,Exchange of Limonene ,
EX_lipoate_e,,,Exchange of Lipoate ,
EX_lneldc_e,,,Exchange of Linoelaidic Acid ,
EX_lnlc_e,,,Exchange of Linoleic Acid (All Cis C18:2) ,
EX_lnlnca_e,,,Exchange of Alpha-Linolenic Acid ,
EX_lnlncg_e,,,Exchange of Gamma-Linolenic Acid ,
EX_lpchol_hs_e,,,Exchange of Lysophosphatidylcholine,
EX_mag_hs_e,,,Exchange of Monoacylglycerol 2 (Homo Sapiens) ,
EX_meoh_e,,,Exchange of Methanol ,
EX_mercplaccys_e,,,Exchange of 3-Mercaptolactate-Cysteine Disulfide ,
EX_mthgxl_e,,,Exchange of Methylglyoxal ,
EX_n2m2nmasn_e,,,"Exchange of N-Acetyl-Beta-D-Glucosaminyl-1, 2-Alpha-D-Mannosyl-1, 3- (N-Acetyl-Beta-D-Glucosaminyl-1, 2-Alpha-D-Mannosyl-1, 6)- (N-Acetyl-Beta-D-Glucosaminyl-1, 4)-Beta-D-Mannosyl-1, 4-N-Acetyl-Beta-D-Glucosaminyl-R ",
EX_nad_e,,,Exchange of Nicotinamide Adenine Dinucleotide ,
EX_nadp_e,,,Exchange of Nicotinamide Adenine Dinucleotide Phosphate ,
EX_ncam_e,,,Exchange of Nicotinamide ,
EX_nifedipine_e,,,Exchange of Nifedipine ,
EX_no_e,,,Exchange of Nitric Oxide,
EX_npthl_e,,,Exchange of Naphthalene ,
EX_nrpphr_e,,,Exchange of Norepinephrine ,
EX_nrpphrsf_e,,,Exchange of Sulfate Derivative of Norepinephrine ,
EX_nrvnc_e,,,Exchange of Nervonic Acid ,
EX_o2s_e,,,Exchange of Superoxide Anion ,
EX_oagd3_hs_e,,,Exchange of 9-O-Acetylated Gd3 (Homo Sapiens) ,
EX_oagt3_hs_e,,,Exchange of 9-O-Acetylated Gt3 (Homo Sapiens) ,
EX_ocdca_e,,,Exchange of Octadecanoate (N-C18:0),
EX_ocdcea_e,,,Exchange of Octadecenoate (N-C18:1) ,
EX_octa_e,,,Exchange of Octanoate (N-C8:0),
EX_omeprazole_e,,,Exchange of Omeprazole ,
EX_onpthl_e,,,Exchange of Naphthalene Epoxide ,
EX_oxa_e,,,Exchange of Oxalate ,
EX_paf_hs_e,,,Exchange of 1-Alkyl 2-Acteylglycerol 3-Phosphocholine (Homo Sapiens) ,
EX_pchol_hs_e,,,Exchange of Phosphatidylcholine (Homo Sapiens) ,
EX_pe_hs_e,,,Exchange of Phosphatidylethanolamine,
EX_peplys_e,,,Exchange of Peptidyl-L-Lysine ,
EX_perillyl_e,,,Exchange of Perillyl Alcohol ,
EX_pglyc_hs_e,,,Exchange of Phosphatidylglycerol (Homo Sapiens) ,
EX_pheacgln_e,,,Exchange of Alpha-N-Phenylacetyl-L-Glutamine ,
EX_phyQ_e,,,Exchange of Phylloquinone ,
EX_phyt_e,,,Exchange of Phytanic Acid ,
EX_prgstrn_e,,,Exchange of Progesterone ,
EX_prostgd2_e,,,Exchange of Prostaglandin D2 ,
EX_prostge1_e,,,Exchange of Prostaglandin E1 ,
EX_prostge2_e,,,Exchange of Prostaglandin E2 ,
EX_prostgf2_e,,,Exchange of Prostaglandin F2Alpha ,
EX_ps_hs_e,,,Exchange of Phosphatidylserine (Homo Sapiens) ,
EX_ptdca_e,,,Exchange of Pentadecanoate ,
EX_rbt_e,,,Exchange of Ribitol ,
EX_retfa_e,,,Exchange of Fatty Acid Retinol ,
EX_retinol_e,,,Exchange of Retinol ,
EX_retinol_9_cis_e,,,Exchange of 9-Cis-Retinol ,
EX_retinol_cis_11_e,,,Exchange of Cis-11-Retinol ,
EX_retn_e,,,Exchange of Retinoate ,
EX_retnglc_e,,,Exchange of Retinoyl Glucuronide ,
EX_Rtotal_e,,,Exchange of R Total ,
EX_Rtotal2_e,,,Exchange of R Total 2 Position ,
EX_Rtotal3_e,,,Exchange of R Total 3 Position ,
EX_s2l2fn2m2masn_e,,,Exchange of Pa6 ,
EX_s2l2n2m2masn_e,,,Exchange of De-Fuc Form of Pa6 ,
EX_sarcs_e,,,Exchange of Sarcosine ,
EX_sl_L_e,,,Exchange of L-Sulfolactate ,
EX_spc_hs_e,,,Exchange of Sphingosylphosphorylcholine (Homo Sapiens) ,
EX_sph1p_e,,,Exchange of Sphinganine 1-Phosphate ,
EX_sphs1p_e,,,Exchange of Sphingosine 1-Phosphate ,
EX_srtn_e,,,Exchange of Serotonin ,
EX_strch1_e,,,"Exchange of Starch, Structure 1 (1, 6-{7[1, 4-Glc], 4[1, 4-Glc]}) ",
EX_strch2_e,,,"Exchange of Starch, Structure 2 (1, 6-{2[1, 4-Glc], [1, 4-Glc]})",
EX_strdnc_e,,,Exchange of Stearidonic Acid ,
EX_tag_hs_e,,,Exchange of Triacylglycerol (Homo Sapiens) ,
EX_tagat_D_e,,,Exchange of D-Tagatose ,
EX_taxol_e,,,Exchange of Paclitaxel ,
EX_tchola_e,,,Exchange of Taurocholic Acid ,
EX_tcynt_e,,,Exchange of Thiocyanate ,
EX_tdchola_e,,,Exchange of Taurochenodeoxycholate ,
EX_tethex3_e,,,"Exchange of Tetracosahexaenoic Acid, N-3 ",
EX_tetpent3_e,,,"Exchange of Tetracosapentaenoic Acid, N-3 ",
EX_tetpent6_e,,,"Exchange of Tetracosapentaenoic Acid, N-6 ",
EX_tettet6_e,,,Exchange of Tetracosatetraenoic Acid N-6 ,
EX_thf_e,,,"Exchange of 5, 6, 7, 8-Tetrahydrofolate ",
EX_thmmp_e,,,Exchange of Thiamin Monophosphate ,
EX_thmtp_e,,,Exchange of Thiamin Triphosphate ,
EX_thym_e,,,Exchange of Thymine ,
EX_thyox_L_e,,,Exchange of L-Thyroxine ,
EX_tmndnc_e,,,Exchange of Timnodonic Acid ,
EX_tolbutamide_e,,,Exchange of Tolbutamide ,
EX_triodthy_e,,,Exchange of Triiodothyronine ,
EX_triodthysuf_e,,,Exchange of Triiodothyronine Sulfate ,
EX_tststerone_e,,,Exchange of Testosterone ,
EX_tststeroneglc_e,,,Exchange of Testosterone Glucuronide ,
EX_tststerones_e,,,Exchange of Testosterone Sulfate ,
EX_tsul_e,,,Exchange of Thiosulfate ,
EX_ttdca_e,,,Exchange of Tetradecanoate (N-C14:0),
EX_txa2_e,,,Exchange of Thromboxane A2 ,
EX_tymsf_e,,,Exchange of Tyramine O-Sulfate ,
EX_Tyr_ggn_e,,,Exchange of Tyr-194 of Apo-Glycogenin Protein (Primer for Glycogen Synthesis) ,
EX_udp_e,,,Exchange of UDP ,
EX_ump_e,,,Exchange of UMP ,
EX_urate_e,,,Exchange of Urate ,
EX_utp_e,,,Exchange of UTP ,
EX_vacc_e,,,Exchange of Vaccenic Acid ,
EX_vitd3_e,,,Exchange of Calctriol,
EX_whddca_e,,,Exchange of Omega Hydroxy Dodecanoate (N-C12:0) ,
EX_whhdca_e,,,Exchange of Omega Hydroxy Hexadecanoate (N-C16:0) ,
EX_whtststerone_e,,,Exchange of W Hydroxy Testosterone ,
EX_whttdca_e,,,Exchange of Omega Hydroxy Tetradecanoate (N-C14:0) ,
EX_xolest_hs_e,,,Exchange of Cholesterol Ester ,
EX_xolest2_hs_e,,,Exchange of Cholesterol Ester (from FullR2) ,
EX_xoltri24_e,,,"Exchange of 7-Alpha, 24(S)-Dihydroxycholesterol ",
EX_xoltri25_e,,,"Exchange of 7-Alpha, 25-Dihydroxycholesterol ",
EX_xoltri27_e,,,"Exchange of 7-Alpha, 27-Dihydroxycholesterol ",
EX_xylt_e,,,Exchange of Xylitol,
EX_yvite_e,,,Exchange of Gamma-Tocopherol,
F1Atg,,,Transport of F1Alpha  (from Golgi to Lysosome),
F1PGT,29.8298,5.8635,Fucose-1-Phosphate Guanylyltransferase,5.087371024132344
FACOAL140i,102.3,237.22,Fatty-Acid- Coenzyme A Ligase (Tetradecanoate),0.4312452575668156
FACOAL150,595.92,975.9,Fatty-Acid- Coenzyme A Ligase,0.6106363356901322
FACOAL160i,609.389,978.9271,C160 Fatty Acid Activation,0.6225070283578829
FACOAL170,595.92,975.9,Fatty-Acid- Coenzyme A Ligase,0.6106363356901322
FACOAL180i,506.77,741.13,C180 Fatty Acid Activation,0.6837801735188158
FACOAL1812,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL1813,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL181i,596.239,976.4771,C181 Fatty Acid Activation,0.6106021329122824
FACOAL1821,217.789,528.7171,Fatty-Acid- Coenzyme A Ligase,0.4119197203948955
FACOAL1822,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL1831,231.669,531.6071,Fatty-Acid- Coenzyme A Ligase,0.43578989069182866
FACOAL1832,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL184,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL191,15.27,3.71,Fatty-Acid- Coenzyme A Ligase,4.115902964959568
FACOAL200,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL203,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL204,974.689,1424.2371,Fatty-Acid- Coenzyme A Ligase,0.6843586647195189
FACOAL2042,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL205,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL206,15.27,3.71,Fatty-Acid- Coenzyme A Ligase,4.115902964959568
FACOAL224,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL2251,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL2252,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL226,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL240,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL241,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL244_1,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL245_1,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL245_2,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL246_1,12.87,53.7,Fatty-Acid- Coenzyme A Ligase,0.2396648044692737
FACOAL260,12.87,53.7,Fatty-Acid- Coenzyme A Ligase (N-C26:0),0.2396648044692737
FACOAL40im,0.13962,0.51,"Fatty-Acid- Coenzyme A Ligase (Butanoate), Mitochondrial",0.2737647058823529
FACOAL80i,480.75,684.98,Fatty-Acid- Coenzyme A Ligase (Octanoate),0.7018453093520979
FADDP,22.64,71.38,FAD Diphosphatase,0.31717567946203423
FADH2tru,,,"Transport of FADH2, Endoplasmic Reticulum",
FADH2tx,,,"Transport of FADH2, Peroxisomal",
FADtru,,,"Transport of FAD, Endoplasmic Reticulum",
FADtx,,,"Transport of FAD, Peroxisomal",
FAEL183,345.03,289.17,Fatty-Acyl Coenzyme A Elongation (N-C18:3CoA),1.1931735657225853
FAEL184,345.03,289.17,Fatty-Acyl Coenzyme A Elongation (N-C20:4CoA),1.1931735657225853
FAEL204,345.03,289.17,Fatty-Acyl Coenzyme A Elongation (N-C20:4CoA),1.1931735657225853
FAEL205,345.03,289.17,Fatty-Acyl Coenzyme A Elongation (N-C20:5CoA),1.1931735657225853
FAH1,0.02,0.05,Fatty Acid Omega-Hydroxylase,0.39999999999999997
FAH2,0.02,0.05,Fatty Acid Omega-Hydroxylase,0.39999999999999997
FAH3,0.02,0.05,Fatty Acid Omega-Hydroxylase,0.39999999999999997
FALDH,24.94,11.56,Formaldehyde Dehydrogenase,2.157439446366782
FALDtly,,,"Formaldehyde Transport via Diffusion, Lysosomal",
FALDtm,,,"Formaldehyde Transport via Diffusion, Mitochondrial",
FAOXC11,179.94,57.39,Beta Oxidation of Long Chain Fatty Acid,3.135389440669106
FAOXC140,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC150m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid (Odd Chain),2.7271682940838597
FAOXC160,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC16080m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC16080x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC161802m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC16180m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC170m,179.94,57.39,Beta Oxidation of Long Chain Fatty Acid (Odd Chain),3.135389440669106
FAOXC180,379.84,139.28,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC180x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC1811601m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC1811602m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC1811603m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC182806m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC18280m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC183803m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC183806m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC183806x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC18480m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC18480x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC200180m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC200180x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2031836m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC204,379.84,139.28,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC204184m,189.92,69.64,Beta Oxidation Fatty Acid,2.7271682940838597
FAOXC2051843m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC2051843x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2242046m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC2242046x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2251836m,189.92,69.64,Beta Oxidation of Fatty Acid,2.7271682940838597
FAOXC2251836x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2252053m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC2252053x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC226,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC226205m,189.92,69.64,Beta Oxidation of Long Chain Fatty Acid,2.7271682940838597
FAOXC226205x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC240200x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC241181x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2442246x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2452253x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC2452256x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC246226x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC260240x,136.8,147.04,Beta Oxidation of Long Chain Fatty Acid,0.9303590859630034
FAOXC80,189.92,69.64,Beta Oxidation of Med/Long Chain Fatty Acid,2.7271682940838597
FAS100COA,327.44,701.77,Fatty Acyl Coenzyme A Synthase (N-C10:0CoA),0.46659161833649204
FAS120COA,327.44,701.77,Fatty-Acyl Coenzyme A Synthase (N-C12:0CoA),0.46659161833649204
FAS140COA,327.44,701.77,Fatty-Acyl Coenzyme A Synthase (N-C14:0CoA),0.46659161833649204
FAS160COA,327.44,701.77,Fatty-Acyl Coenzyme A Synthase (N-C16:0CoA),0.46659161833649204
FAS180COA,327.44,701.77,Fatty-Acyl Coenzyme A Synthase (N-C18:0CoA),0.46659161833649204
FAS80COA_L,323.19,693.55,"Fatty Acyl Coenzyme A Synthase (N-C8:0CoA), Lumped Reaction",0.4659938000144186
FATP1t,62.41,41.77,Fatty Acid Electroneutral Transport,1.4941345463251134
FATP2t,6.55,9.81,Fatty Acid Electroneutral Transport,0.6676860346585116
FATP3t,6.55,9.81,Fatty Acid Electroneutral Transport,0.6676860346585116
FATP4t,9.45,0.77,Fatty Acid Electroneutral Transport,12.272727272727272
FATP5t,9.45,0.77,Fatty Acid Electroneutral Transport,12.272727272727272
FATP6t,24.72,4.48,Fatty Acid Electroneutral Transport,5.517857142857142
FATP7t,24.72,4.48,Fatty Acid Electroneutral Transport,5.517857142857142
FATP8t,24.72,4.48,Fatty Acid Electroneutral Transport,5.517857142857142
FATP9t,24.72,4.48,Fatty Acid Electroneutral Transport,5.517857142857142
FBA4,3816.98,4009.84,D-Fructose 1-Phosphate D-Glyceraldehyde-3-Phosphate-Lyase,0.9519033178381182
FBA5,1258.38,1326.69,D-Tagatose 1-Phosphate D-Glyceraldehyde-3-Phosphate-Lyase,0.9485109558374601
FBP26,114.0356,62.0429,"Fructose-2, 6-Bisphosphate 2-Phosphatase",1.8380120851862178
FCLTm,48.8,23.52,"Ferrochelatase, Mitochondrial",2.074829931972789
FCOAH,,,Formyl Coenzyme A Hydrolase,
FDH,0.04,5.71,Formate Dehydrogenase,0.0070052539404553416
FE2t,,,Transport of Iron (Fe2+) ,
FE2tm,,,"Transport of Iron (Fe2+), Mitochondrial",
FE3R2e,0.11,0.64,Fe3+ Reduction (Ascorbate),0.171875
FK,8.37,6.4,Fucokinase,1.3078124999999998
FKYNH,39.26,54.7,N-Formyl-L-Kynurenine Amidohydrolase,0.7177330895795246
FOLR2,38.91,145.41,Folate Reductase,0.2675881988859088
FOLt2,113.98,82.92,Folate Transport via Anion Antiport,1.3745779064158226
FORMCOAtx,,,Formyl Coenzyme A Transport,
FORt2m,,,"Transport of Formate, Mitochondrial",
FORtr,,,"Transport of Formate, Endoplasmatic Reticulum",
FPGS2,38.02,24.74,Folylpolyglutamate Synthetase,1.5367825383993534
FPGS2m,38.02,24.74,"Folylpolyglutamate Synthetase, Mitochondrial",1.5367825383993534
FPGS3,38.02,24.74,Folylpolyglutamate Synthetase,1.5367825383993534
FPGS3m,38.02,24.74,"Folylpolyglutamate Synthetase, Mitochondrial",1.5367825383993534
FPGS4,38.02,24.74,Folylpolyglutamate Synthetase (Dhf),1.5367825383993534
FPGS4m,38.02,24.74,"Folylpolyglutamate Synthetase (Dhf), Mitochondrial",1.5367825383993534
FPGS5,38.02,24.74,Folylpolyglutamate Synthetase (Dhf),1.5367825383993534
FPGS5m,38.02,24.74,"Folylpolyglutamate Synthetase (Dhf), Mitochondrial",1.5367825383993534
FPGS6,38.02,24.74,Folylpolyglutamate Synthetase (Dhf),1.5367825383993534
FPGS6m,38.02,24.74,"Folylpolyglutamate Synthetase (Dhf), Mitochondrial",1.5367825383993534
FPGS7m,38.02,24.74,"Folylpolyglutamate Synthetase (10Fthf), Mitochondrial",1.5367825383993534
FPGS8,38.02,24.74,Folylpolyglutamate Synthetase (10Fthf),1.5367825383993534
FPGS8m,38.02,24.74,"Folylpolyglutamate Synthetase (10Fthf), Mitochondrial",1.5367825383993534
FPGS9,38.02,24.74,Folylpolyglutamate Synthetase (10Fthf),1.5367825383993534
FPGS9m,38.02,24.74,"Folylpolyglutamate Synthetase (10Fthf), Mitochondrial",1.5367825383993534
FPGSm,38.02,24.74,"Folylpolyglutamate Synthetase, Mitochondrial",1.5367825383993534
FRDPtc,,,"Lipid, Flip-Flop Intracellular Transport",
FRDPtr,,,"Lipid, Flip-Flop Intracellular Transport",
FRUt1r,167.7496,59.21,Transport of D-Fructose via Uniport,2.8331295389292346
FTHFDH,0.32,10.14,Formyltetrahydrofolate Dehydrogenase,0.03155818540433925
FTHFLm,228.6,148.03,"Formate-Tetrahydrofolate Ligase, Mitochondrial",1.5442815645477268
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUC14GALACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUC14GALACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCACGALFUCGALACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCACGALFUCGALACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCACNGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCACNGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCACNGALACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCACNGALACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCASE2e,197.63,200.69,"Alpha-Fucosidase, Extracellular",0.9847526035178633
FUCASE2ly,52.61,18.35,"Alpha-Fucosidase, Lysosomal",2.8670299727520434
FUCASEe,197.63,200.69,"Alpha-Fucosidase, Extracellular",0.9847526035178633
FUCASEly,52.61,18.35,"Alpha-Fucosidase, Lysosomal",2.8670299727520434
FUCFUC12GAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCFUC12GAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCFUCGALACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCFUCGALACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
FUCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
FUCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
