GENE	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C11_419730	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: GSM253206	Liver_Cancer.Cell.Line_Low_PLC-PRF-5_Hepatocellular.Carcinoma: MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A04_454756
PTGR1	1449.96	877.65	74.13
FOXF1	34.62	28.21	30.90
SLC4A1AP	649.87	437.28	586.55
P2RX2	48.37	70.67	54.31
TRIM32	144.30	115.11	90.48
SCMH1	154.44	206.23	139.68
FOXF2	33.78	38.40	34.36
FOXC1	45.05	65.25	128.94
TPX2	2828.85	3505.98	1704.46
PAXIP1	407.68	605.84	351.94
AKR7A3	44.89	42.49	44.68
NT5C2	1200.57	1215.81	1497.25
FOXD1	41.90	46.78	60.39
TCF25	713.17	433.02	445.01
NINL	264.35	432.03	124.57
DIP2C	172.23	186.44	95.92
MAST1	51.30	41.63	45.35
PDCD11	301.08	431.17	377.65
ACIN1	265.14	387.38	196.30
SORCS3	13.99	14.48	16.60
MYH15	25.13	27.70	23.91
PCNX	55.97	52.39	46.00
KDM2A	798.97	720.47	203.90
HMGXB3	294.23	339.65	332.20
CEP131	82.26	70.39	96.40
CEP152	54.59	58.50	75.90
TTC39A	85.47	37.79	67.15
IGSF9B	54.25	37.89	43.12
LIMCH1	163.89	67.46	77.05
RIMS1	25.24	24.87	26.70
FOXI1	24.24	23.95	32.70
ALDOB	32.14	29.87	28.99
ABCB7	216.62	119.12	420.83
WDFY3	107.63	124.63	142.84
DAAM1	272.27	255.91	131.58
MAPKBP1	71.10	81.04	89.20
PLCH1	23.75	22.69	29.18
KLHDC10	168.70	164.97	84.44
FOXL1	25.00	30.12	29.44
RAB21	481.30	318.14	322.29
STK38L	443.66	191.83	173.16
SPEN	181.35	256.94	243.79
FBXO21	380.25	318.49	931.56
GOLGA8A	428.43	731.19	477.55
EXOSC7	894.23	890.02	556.83
FAIM2	48.07	41.88	41.22
CNOT1	431.29	713.17	386.90
FOXE3	34.76	85.30	25.88
SNRNP200	2124.49	1902.66	2544.74
PALLD	895.78	650.72	900.07
TMCC1	153.06	126.81	128.18
PDZRN3	46.39	31.08	32.18
UNC13A	58.83	55.46	72.88
MYO16	37.34	36.19	30.25
KDM1A	545.49	717.04	314.50
RBM34	456.76	334.46	364.91
FOXJ1	69.15	77.54	68.16
KDM4B	211.42	177.88	129.56
MAST3	117.24	132.87	133.38
USP33	412.37	465.39	580.60
DOPEY1	128.73	132.60	79.11
SAMD4A	39.83	48.67	71.18
PHLPP2	238.41	311.80	251.13
ZNF292	263.36	285.67	227.75
PDZD2	24.88	21.32	24.87
WDTC1	190.59	273.69	236.86
XPO7	396.59	310.55	306.43
FOXC2	17.20	20.79	22.26
MYT1L	14.65	22.19	17.35
MON2	172.36	209.50	153.92
PDXDC1	939.60	772.50	703.98
TNIK	367.86	251.25	247.93
KIF21B	119.29	174.02	103.51
PDS5B	265.43	400.65	173.46
FNBP1	274.51	374.03	415.61
SMG1	147.79	189.69	142.98
FOXE1	33.62	51.35	104.22
ZHX3	62.36	68.05	48.36
ENDOD1	87.96	56.92	108.56
ZSWIM8	64.04	53.40	72.47
NCOA6	502.51	688.30	434.04
NMNAT2	35.42	54.94	35.49
CLUAP1	123.52	99.09	105.95
FOXM1	692.47	827.15	837.30
ZNF609	88.35	121.44	97.25
TBC1D9B	247.55	267.58	337.14
GGA2	244.50	179.52	158.86
WAPL	308.62	446.06	303.74
SETX	230.18	234.33	214.09
EMC1	272.20	297.88	364.13
CAND2	190.26	176.40	43.41
SETD1B	566.88	834.98	602.53
FOXD2	18.73	22.50	19.38
CMTR1	242.96	257.98	330.36
ERP44	340.76	341.56	232.58
HECW1	30.08	32.99	39.46
UHRF1BP1L	117.18	96.59	80.87
SWAP70	175.80	100.96	321.84
RRP1B	426.29	509.24	547.38
MYCBP2	426.59	695.40	418.33
VWA8	190.82	240.53	177.18
FOXS1	27.14	33.24	34.90
AVL9	66.16	75.44	104.24
KDM4C	114.95	59.08	90.58
PPRC1	283.79	461.54	305.11
ERC1	96.22	95.02	126.42
EXPH5	78.43	95.64	44.46
TRIM35	148.36	131.08	105.01
PEG10	2386.86	3663.48	1172.85
FOXO1	395.96	443.81	435.94
ZNF423	88.78	68.87	28.17
ZC3H13	50.35	59.14	45.90
ARHGAP26	35.23	33.11	45.15
TTLL5	113.80	135.37	123.49
SIPA1L3	122.85	136.08	130.83
KIF1B	259.07	305.11	313.78
IQSEC2	42.64	68.66	63.97
CDK19	256.27	191.59	215.79
SARM1	62.81	73.87	227.92
ZBTB43	165.10	203.28	143.36
FOXO3	191.01	227.62	149.84
ALDOC	615.20	389.83	141.10
MCF2L2	14.33	12.36	11.69
TBC1D2B	268.08	313.52	252.27
FSTL4	45.01	43.53	40.97
MRPS27	552.30	587.03	482.17
RAP1GAP2	99.34	99.27	149.56
DDN	66.76	106.08	113.93
SPG20	24.10	28.57	74.72
TNRC6B	163.05	149.09	107.88
CUL9	47.39	57.69	61.78
NFASC	36.83	37.71	32.43
FAM179B	127.44	118.54	184.52
TAB2	339.65	339.44	258.51
HIC2	310.38	523.74	114.87
ATP10B	88.57	108.93	79.77
CLASP2	204.00	156.51	134.89
CAMTA2	91.51	98.73	120.30
POGZ	377.41	664.95	468.86
COLGALT2	54.15	49.23	48.58
PLXND1	162.85	120.10	187.61
FLG	13.69	14.38	22.43
ATG2A	279.50	254.76	333.10
GPATCH8	230.11	266.35	290.00
RAD54L2	227.58	222.23	184.06
PHF8	129.41	86.03	163.77
KDM6B	111.96	166.61	122.71
EPB41L3	26.30	20.32	25.41
SMC5	442.46	567.78	256.80
N4BP3	30.91	40.82	40.35
MAST2	131.58	188.33	162.77
FLI1	23.06	32.47	27.34
ZZEF1	107.58	124.75	107.21
ANKLE2	150.89	189.40	181.43
DCUN1D4	475.83	478.91	159.63
LRCH1	22.90	32.60	24.51
ZC3H3	106.42	161.59	136.41
SSPO	37.95	34.45	39.33
NACAD	51.50	51.62	32.97
FCHO1	53.11	31.10	115.35
FLII	450.04	308.71	532.56
FRMD4B	67.54	17.02	32.82
GRAMD4	126.99	98.46	54.70
CIC	146.05	201.45	323.32
NCDN	84.53	86.18	82.76
CLCC1	218.96	250.45	239.65
SEPT6	109.54	89.74	212.35
TBC1D9	309.31	306.43	258.25
MLANA	15.97	15.79	16.37
WDR43	365.01	325.11	356.21
SNX13	148.29	150.13	136.77
MAPK8IP3	56.78	58.69	66.07
GGA3	148.19	138.06	174.97
MPRIP	821.32	794.72	667.95
NUP205	692.80	1012.64	680.66
STAB1	67.67	94.00	68.09
EFR3A	549.70	893.73	627.99
RTF1	166.03	185.07	181.80
SLC35D1	129.99	119.57	125.25
FLNA	475.66	463.62	798.97
TTLL12	486.87	464.10	456.92
GPD1L	631.26	173.72	264.28
FAM175B	311.37	444.86	287.50
METAP1	707.70	909.80	969.50
ZCCHC14	82.44	118.32	86.22
LPIN1	272.50	240.80	177.13
SEPT8	107.60	105.66	133.20
CEP68	154.18	130.49	128.52
PASK	103.93	95.19	117.04
RGL1	588.75	457.08	182.70
FLNB	779.77	731.54	182.01
RFTN1	142.91	107.14	46.58
DIP2A	39.69	35.04	36.44
MESDC2	389.48	393.44	597.05
LARP4B	162.97	248.21	282.30
RCOR1	257.28	241.17	259.00
PHLDB1	103.44	109.11	148.58
KANK1	535.45	447.11	245.91
FLNC	222.00	226.74	62.01
UBXN4	632.93	404.53	541.27
CYFIP1	1049.66	976.38	1831.36
ATG4B	451.88	521.74	385.80
GANAB	1997.25	2672.73	2156.69
FBXL7	34.85	41.34	28.74
MDN1	17.38	18.25	15.62
FAM120A	551.88	481.84	549.51
FAF2	633.46	913.02	384.70
PSME4	846.17	678.17	653.93
GSE1	562.61	886.39	329.40
FLOT2	351.19	294.39	345.66
AKR1B1	1466.84	527.12	2460.61
ATP11B	154.07	110.18	136.48
PMPCA	920.77	1145.53	417.52
ARL6IP1	4030.94	2774.48	2980.01
ACSBG1	21.53	20.13	20.04
PLEKHM2	105.71	144.93	117.62
SYT11	46.66	77.13	35.15
MLC1	32.57	22.06	21.19
JMJD6	149.34	154.59	153.47
ZC3H4	872.55	1081.56	667.35
RRS1	1117.07	1614.53	1651.77
SULF1	30.67	35.44	30.93
XPO6	495.04	537.72	487.58
PRRC2C	349.10	524.54	404.53
TBC1D1	98.11	114.09	101.93
ZFR2	49.06	63.98	65.21
NBEAL2	66.53	51.71	78.12
FBXO28	578.91	349.92	403.10
DTX4	399.51	580.36	201.49
RHOBTB2	81.16	73.30	72.82
RRP12	135.44	168.24	187.01
SYNE2	103.75	125.52	100.66
NUP210	181.21	275.35	145.03
PLCL2	34.51	31.62	33.13
ARHGEF9	31.12	28.81	107.60
FLT3	58.35	110.95	62.67
VPS13A	170.41	299.48	114.52
SEL1L3	306.43	1076.25	113.59
TBC1D12	86.93	100.61	69.88
SIK2	134.79	158.40	396.20
PLCB1	278.28	453.92	110.00
ARC	20.25	25.66	29.06
PHLPP1	67.43	102.07	44.58
FLT3LG	22.47	21.62	20.68
KIAA0922	473.17	421.68	116.22
PACS2	162.77	181.89	183.78
COBL	200.99	115.35	146.36
ANKRD28	296.95	235.93	507.55
PDS5A	213.26	275.78	279.19
ASTN2	65.33	31.00	53.97
KIAA0556	122.01	183.00	182.10
RPRD2	729.37	990.97	796.43
FLT4	24.00	23.55	22.66
ATP11A	76.39	72.59	96.63
KIAA1024	31.34	26.92	18.70
OTUD3	77.68	127.23	96.59
ANKRD12	152.10	138.75	132.60
KAZN	39.00	49.68	53.43
SCFD1	1285.49	1166.60	177.27
DENND5A	512.85	530.17	384.33
CAMTA1	36.71	43.90	73.89
PPIP5K2	357.10	380.96	243.28
MCF2L	43.56	39.24	43.07
ZC3H7B	155.27	223.67	164.18
EXOC7	192.07	190.35	230.11
ADGRL2	585.81	3111.94	802.41
DNMBP	257.35	275.56	279.73
MGA	183.97	303.40	205.50
FMO1	150.16	75.42	42.59
TSPYL4	775.35	378.72	387.00
CAMSAP2	127.48	123.20	264.99
FAM208A	217.84	329.99	390.10
CLEC16A	73.18	74.82	99.43
POFUT2	104.84	126.30	118.98
KLHL18	189.07	153.51	215.34
CLUH	741.76	916.32	515.92
NUP160	209.24	162.82	154.92
FMO2	38.82	50.42	37.95
MTUS2	34.45	37.51	34.49
CSTF2T	148.58	134.47	151.29
ADGRL3	34.48	31.77	22.14
WWC1	290.16	272.42	305.73
AGTPBP1	393.93	410.75	126.36
IQCE	87.48	85.75	126.30
FMO3	15.70	14.88	15.80
FBXW11	373.33	420.28	286.46
SMG6	77.89	101.05	84.92
ANKS1A	264.77	259.43	271.37
MGRN1	294.88	366.84	277.38
BICD2	286.46	169.37	140.53
FMO4	125.17	162.97	132.03
ATMIN	520.77	303.66	179.04
EHBP1	681.61	775.35	960.94
WSCD1	75.50	98.53	61.79
KIF13B	287.50	231.97	302.54
UBR2	131.90	155.60	247.23
ACSL6	13.79	12.71	14.22
NEMP1	241.49	302.10	175.89
FKBP15	326.72	369.90	300.47
ICOSLG	68.16	79.50	77.26
SIN3B	153.29	152.00	114.17
FMO5	55.46	45.94	49.08
NCAPD3	599.04	718.73	877.65
DMXL2	289.03	750.76	440.07
KIAA0930	234.69	235.75	316.14
SATB2	109.97	100.18	293.64
SLC9A8	84.83	73.89	64.91
CUX2	20.18	26.83	36.96
DNAJC13	68.05	66.72	43.97
ZCCHC11	298.54	290.56	362.37
FMOD	90.42	71.26	48.96
TRIM2	83.14	41.36	67.11
RPGRIP1L	20.11	24.22	27.42
MAN2B2	359.81	276.53	424.05
KIAA1033	643.01	394.07	484.95
USP22	753.41	910.87	581.77
NEDD4L	176.93	221.51	108.93
SASH1	214.36	187.57	214.75
TBC1D30	40.69	37.58	105.13
FMR1	681.94	781.82	519.00
TTC28	105.95	115.92	70.86
CLASP1	249.60	222.40	221.32
DPY19L1	220.59	242.38	312.97
SZT2	54.46	51.69	40.70
WDR7	111.86	95.81	179.07
SYNM	431.73	366.05	439.19
JADE2	101.21	110.23	119.09
VPS39	173.08	199.44	230.22
DNAJC16	175.36	198.73	203.28
ESYT1	1010.67	1456.91	1113.82
SYNE1	85.73	62.94	132.50
SMCHD1	365.24	410.49	282.62
DOCK9	97.48	90.94	153.62
PHF24	29.65	45.70	22.63
AFF2	41.38	43.03	38.04
U2SURP	295.21	300.14	220.25
KHNYN	176.84	169.12	269.75
UBR4	606.09	744.38	658.66
SUN1	377.78	582.25	661.64
HAUS5	206.03	191.63	138.49
VPS8	220.82	209.72	284.48
ANGEL1	137.46	207.38	166.73
USP24	290.72	341.47	301.25
FN1	2442.94	1885.46	840.56
FNBP4	299.64	288.45	324.17
ZNF629	192.26	312.06	205.66
PSD3	186.35	202.05	57.06
OBSL1	72.27	60.34	59.52
ARHGEF12	88.63	114.65	169.07
KIAA0895	53.60	55.55	78.41
LARP1	463.62	609.17	508.50
PPP1R13B	81.41	63.61	96.83
PUM2	610.23	620.72	608.66
ARHGEF18	616.48	576.55	348.25
TNS2	58.82	65.61	91.00
CRTC1	70.52	84.44	94.78
UFL1	356.21	186.41	284.80
RRP8	239.85	220.82	250.12
ICE1	313.15	437.12	376.71
SRGAP2	87.02	116.17	91.55
SMG5	190.40	346.69	247.74
AHCYL2	112.07	104.19	121.24
MAU2	293.31	382.76	357.97
SPECC1L	392.81	371.26	262.58
NCSTN	501.60	430.72	830.82
NUDCD3	247.35	302.36	308.52
SIK3	134.89	221.95	108.11
MED13L	150.97	188.04	171.47
ZDHHC17	200.24	201.61	145.52
KIAA0368	303.22	384.57	255.72
ADNP	630.70	683.83	652.48
LARS2	356.78	380.01	186.17
PIP5K1C	201.45	177.71	171.25
NCAPH	315.39	339.04	357.62
PPWD1	226.29	259.56	132.69
CTDNEP1	179.82	159.48	218.06
FNTA	1593.96	1444.35	772.13
ATP13A2	77.58	58.67	158.31
FRAT2	615.45	1015.31	447.73
FBXO46	197.39	256.53	253.21
EXOSC2	431.88	461.86	246.77
DICER1	250.92	503.06	298.13
COTL1	433.02	39.37	208.70
SIRT5	126.72	124.78	103.75
SIRT4	33.72	31.41	31.22
SIRT3	95.10	116.31	127.84
SIRT1	292.66	296.95	207.02
COMMD3	950.74	1338.59	994.21
NCS1	81.64	83.01	62.34
ZFPM2	27.25	21.43	15.13
KCNH4	45.57	51.92	44.51
KCNH3	61.04	70.17	86.01
MLYCD	178.14	155.04	215.45
CRB1	18.98	18.97	16.18
ITGB3BP	677.56	696.70	909.23
TMED3	745.11	617.80	1235.43
TDRD7	276.53	255.57	218.00
GRIP1	17.24	17.88	18.43
SLC7A8	124.08	119.04	104.92
RYBP	557.95	525.52	322.76
FNTB	139.41	159.66	210.58
TPSD1	40.56	57.11	37.31
AP4E1	69.06	70.96	69.71
GPR161	96.81	50.79	97.78
RHOQ	82.85	62.02	254.62
LINC01565	70.77	79.21	74.01
CELA3B	106.10	106.45	164.26
HARS2	392.95	345.97	429.85
ATP1B4	17.29	14.49	14.97
OTP	19.36	19.78	20.51
SLC35A3	339.13	281.91	272.86
SLC44A1	435.49	291.05	414.66
SF3B3	904.89	1030.48	621.75
SF3B1	1653.61	1718.34	1510.80
ANGPTL2	65.95	40.62	36.79
ABCB10	469.99	655.98	813.73
ABCB9	63.88	41.50	65.45
ABCA6	31.23	20.30	19.07
ABCA5	99.25	61.85	112.88
HEY1	477.88	131.99	274.22
ICMT	577.27	595.81	540.22
GCAT	376.00	383.24	179.91
CBX6	259.00	270.41	489.51
NPTXR	55.67	31.69	41.08
CBX5	1112.97	710.06	435.19
PHF3	264.84	203.12	262.36
FOLH1	198.24	24.81	17.70
TRAM1	2768.52	2325.94	1447.15
CAPN7	647.57	524.72	311.98
ETHE1	378.83	243.98	770.95
QPRT	716.29	616.77	353.85
BRD4	274.43	353.75	394.45
SEC11A	3685.64	3390.07	4792.62
ISCU	2099.60	1509.23	1897.78
SEC61G	6112.30	4792.62	4143.40
PES1	405.71	335.74	381.91
TGDS	314.67	310.75	585.81
LEPROTL1	818.14	448.51	601.53
FOLR1	77.33	58.94	162.49
CES3	47.25	84.79	96.46
CBX7	64.91	86.79	118.50
HEY2	74.39	33.58	45.43
TNFRSF13B	55.01	42.95	65.26
HAAO	186.12	154.44	99.83
MACF1	396.48	536.04	482.84
DAAM2	61.11	54.36	55.43
ZFYVE26	134.95	174.24	163.05
RIMBP2	31.89	56.55	34.52
TMEM131	219.35	183.65	224.30
GLTSCR1L	75.42	98.95	76.70
TTC9	31.74	32.41	46.18
POFUT1	91.55	84.88	72.06
FOLR2	80.36	104.94	83.25
KCTD2	181.43	163.69	196.79
NUP188	122.24	117.35	83.98
SUZ12	795.16	711.79	1053.23
SCRIB	312.69	416.16	419.03
SPIDR	101.81	53.12	93.87
MORC3	131.49	128.60	136.18
SLC39A14	2105.72	1070.30	1269.46
SKIV2L2	506.07	796.43	458.79
R3HDM1	1001.40	810.18	798.58
ANP32D	14.57	35.85	20.39
ANP32C	39.40	30.16	41.50
RPL13A	26621.42	12116.62	17404.83
KAT6B	99.43	128.94	76.92
CABIN1	183.51	153.54	159.79
SRRM2	304.52	346.28	276.17
HMHA1	200.03	101.91	103.34
ACAP2	158.66	147.50	83.34
ZNF281	887.44	440.53	424.32
CLCF1	131.62	129.35	138.12
FOLR3	50.07	50.26	69.25
NNT	161.59	161.90	233.05
MMD	2892.50	3652.33	2619.73
PRAME	159.86	74.19	165.05
PIK3R5	52.52	72.18	73.24
TNPO3	491.62	603.58	620.98
ADAT1	173.60	81.28	148.33
OR52A1	38.13	60.27	36.18
SLC16A8	39.33	49.09	37.57
FOS	89.52	56.70	654.21
SEC14L2	29.28	29.18	34.41
MAPK8IP2	83.23	56.35	87.08
RBFOX2	409.55	452.04	410.23
SEZ6L	74.53	119.15	83.56
ATP6V0A2	218.40	180.98	218.90
SYNGR4	38.77	90.64	60.81
LILRA4	62.77	81.13	105.66
TTC33	400.29	247.62	134.24
DNPEP	303.49	285.11	507.20
FOSB	66.49	84.85	556.41
PSD4	53.10	36.79	34.14
RASD2	42.18	47.88	45.47
CDK20	101.91	97.97	124.19
HYAL4	45.55	40.63	39.35
TSPAN12	157.12	68.23	256.46
TSPAN15	129.71	87.77	301.16
PIGN	129.69	135.15	123.93
SNAPIN	893.18	1034.06	1259.99
WBP2	196.54	205.60	313.69
WBP1	400.65	458.63	609.97
FOSL2	58.29	49.98	81.62
GTPBP4	710.41	822.63	1301.99
CLDN14	24.55	22.76	18.10
CHST5	32.02	38.99	48.38
DDAH2	387.86	310.04	544.20
LPAR3	99.63	107.78	36.28
ZNF346	160.05	177.13	102.54
ARL2BP	399.02	217.05	754.62
PADI4	18.82	22.73	18.87
FPGS	225.64	189.93	301.41
DDAH1	360.14	715.25	452.51
FPR1	55.17	90.56	79.93
CDC42EP4	115.25	102.19	109.52
CASP14	19.26	18.20	19.54
CCNDBP1	342.79	175.58	691.17
SMUG1	223.56	308.97	255.57
VSIG2	48.69	50.72	33.41
TMEM50A	671.34	745.52	789.67
DDX58	76.43	55.70	83.47
ELP5	553.14	446.37	475.17
KLHDC2	1213.87	1036.78	856.26
CARHSP1	472.80	422.35	413.57
FPR2	31.32	29.01	28.62
PDSS1	279.27	261.31	329.49
FAM215A	34.61	36.13	38.13
LEMD3	923.07	860.18	530.97
HEBP2	1392.54	874.61	1595.73
ORC6	1826.80	2054.26	1191.20
ORC3	633.76	355.03	510.94
OPN3	332.71	295.37	113.01
ACOT9	555.33	311.18	1661.07
PATZ1	115.35	114.49	86.39
FPR3	33.01	39.56	38.06
AMACR	253.81	214.63	72.61
CLEC5A	19.46	14.56	18.51
CORO1C	1419.93	1096.28	1059.16
DAPK2	66.05	54.41	58.57
CD2AP	77.21	54.15	94.86
MKRN1	472.18	528.33	598.29
MKRN2	324.91	255.10	204.78
PHLDA3	73.03	64.45	85.13
ZMYND8	505.86	413.98	572.61
PPY2P	22.42	21.69	15.00
PYY2	77.08	89.96	68.39
SH3BP1	81.85	79.96	105.98
TSSK2	20.71	21.51	22.44
ZIM2	64.17	89.24	65.69
NTSR2	31.48	35.95	34.60
BACE1	153.47	237.29	267.65
RUSC1	581.28	699.32	1220.62
CBLC	26.82	18.21	19.03
FAM89B	340.85	324.17	418.48
SPO11	12.74	13.00	12.25
PRND	22.56	26.94	29.21
KCNE5	38.00	82.37	35.10
CA14	107.93	88.86	66.00
KPNA6	227.62	216.89	244.43
SSBP2	301.25	389.96	166.36
NUP62	333.86	181.03	413.72
RABGAP1	328.06	498.86	265.21
LRRC6	25.37	20.86	31.53
HSPBP1	252.88	253.74	411.69
LDOC1	95.04	162.49	404.92
SNHG1	3399.48	3912.30	2515.97
LY96	14.86	15.90	43.19
EDC4	209.44	184.87	174.76
PPP1R15A	175.84	189.60	365.37
PLD3	452.19	462.02	541.68
ARFIP2	490.22	661.04	376.24
SSBP3	209.60	308.09	214.63
POLA2	196.79	404.00	282.54
TRIM29	59.10	53.31	113.35
PLXNB2	534.63	435.19	634.03
SLC7A11	161.79	396.73	103.31
LSM5	384.09	432.15	480.10
PLA2G15	115.14	81.01	150.64
ZKSCAN5	151.59	225.64	161.47
TMEM2	967.09	1408.07	605.59
TMEFF2	31.63	19.01	58.93
STX12	426.85	467.69	330.75
SMPX	34.47	30.33	23.94
SH3BP4	470.84	366.15	32.58
SGK3	227.10	153.32	166.57
RAB38	60.86	55.10	45.80
PRKD3	128.77	111.21	114.98
KCNE4	25.34	27.81	27.57
CADM1	325.77	443.50	36.98
GSPT2	33.82	32.27	480.64
GABARAPL1	153.10	104.81	202.26
SHPK	49.92	65.37	74.55
TMEM245	985.22	695.74	1314.41
FRRS1L	60.28	77.68	78.92
EID1	451.72	273.92	588.75
NPAP1	40.13	51.27	39.10
BHMT2	421.24	1605.94	840.09
AIPL1	29.14	38.18	42.03
SDF2L1	599.53	632.93	1116.22
PPIL2	160.61	186.31	167.46
PITPNB	1500.26	1363.78	802.86
PISD	143.85	132.97	117.84
OSBP2	74.92	64.25	87.54
MAFF	464.26	451.41	1019.47
IL17RA	144.68	158.63	167.25
FLRT3	1488.46	1348.09	31.62
FLRT2	274.96	423.47	437.12
FLRT1	27.66	45.83	43.36
FKBP8	91.03	82.19	116.19
BRD1	173.34	218.40	87.56
APOL2	132.97	108.81	110.36
BCL2L13	203.12	194.58	119.06
MTCH1	3801.36	3207.20	4876.06
MTCH2	595.56	536.67	367.04
ALK	28.75	34.40	38.52
FXN	252.60	288.87	119.97
ALOX12	39.88	33.66	36.04
ABCF1	814.18	898.52	1518.36
ALOX5	25.39	26.33	29.10
KIF4A	622.06	788.46	1268.32
IFIT5	77.34	67.15	139.37
EML2	121.50	69.42	135.82
FTSJ1	860.66	481.14	628.51
LAMP5	206.44	116.61	47.58
NAT6	136.41	99.93	118.32
TFIP11	289.92	266.80	233.67
PANX1	70.65	44.74	140.56
CLDN15	248.79	399.02	263.85
FJX1	42.12	69.78	33.78
PRPF6	246.30	229.22	218.23
ZNF318	75.92	109.59	121.64
ALOX5AP	66.84	58.23	51.42
ALOX12B	29.09	34.78	33.64
FRK	91.94	97.46	52.71
SPDYA	20.38	21.74	19.58
MS4A6E	15.84	17.86	18.20
VGLL2	49.43	45.14	52.80
CNPY4	290.88	330.09	354.83
DEFB119	20.55	24.23	26.80
DEFB121	17.54	15.85	19.95
DEFB123	28.72	33.19	29.28
DEFB124	136.93	296.21	128.49
DEFB125	17.32	31.49	25.13
ATP6V0D2	29.92	28.49	30.38
ATP6V1C2	20.41	22.43	20.36
ALOX12P2	91.04	91.13	53.01
TTTY10	21.85	27.84	23.90
TXLNGY	12.70	12.50	14.82
CNOT6L	51.46	56.37	62.92
GAS2L2	57.75	85.99	64.46
SLC17A8	33.84	17.48	9.62
RNASEH1	397.36	418.48	627.73
LACE1	41.65	26.30	32.43
STAC3	51.77	40.12	55.76
PELI3	152.32	72.54	126.97
LINC00314	17.88	16.53	16.15
STH	58.93	76.17	41.00
SPESP1	14.83	15.11	371.50
IL27	90.46	95.68	70.40
ALOX15	22.81	23.17	24.94
MTOR	142.53	246.90	159.20
ALOX15B	41.84	45.85	44.62
FRG1	382.15	464.42	525.74
FRZB	38.04	28.03	30.40
FSHB	22.58	19.90	20.34
ALPI	25.44	21.22	22.65
CENPI	117.26	109.24	142.43
FSHR	24.97	21.52	23.70
NR5A2	190.64	229.81	65.72
FTH1	2959.01	2005.57	565.08
ALPL	22.71	19.68	44.23
ABCA4	66.18	91.39	70.13
ALPP	26.26	25.23	22.78
FTL	20649.22	14319.56	22311.50
ADAM2	17.72	17.74	17.34
NR5A1	27.60	33.09	22.51
FUCA1	369.44	161.62	1333.96
FUCA2	1203.40	985.90	1696.68
ALPPL2	63.92	60.38	99.02
GAST	30.63	86.86	38.54
FUS	1616.32	1092.34	796.87
FUT1	42.62	42.01	34.72
FUT2	52.41	70.89	48.33
FUT3	28.31	29.45	39.49
FUT4	95.74	124.40	56.86
FUT5	53.04	40.47	42.30
TMEM9	804.58	727.55	3390.07
ZNF396	16.19	15.16	17.41
FUT6	49.21	49.64	40.65
NEIL2	112.09	93.18	96.74
STXBP4	84.87	66.65	42.88
FNDC5	82.82	87.37	84.57
FUT7	57.68	50.49	54.29
HEPACAM2	41.73	26.68	12.83
TECRL	11.59	10.31	11.59
HCG27	30.04	33.56	29.32
PSMD5-AS1	43.54	50.51	45.34
FUT8	125.25	154.07	206.92
LINC00612	16.47	22.19	25.36
PRR14L	57.40	71.52	49.89
EPHX4	77.02	31.84	41.76
SERHL2	82.32	37.18	40.75
KDSR	53.08	33.91	58.12
RICTOR	350.14	526.72	98.42
ACKR1	47.91	63.34	51.63
FYB	27.95	32.78	29.26
IPMK	20.77	13.48	12.67
ZBTB38	120.22	95.96	122.48
FYN	197.03	103.95	61.81
SLC25A30	33.24	30.33	40.30
LCLAT1	558.80	709.03	975.10
CADM2	16.81	16.54	16.49
FZD2	70.60	29.41	242.58
GPATCH11	24.73	16.64	30.03
ZNF620	26.93	23.71	13.67
TTC41P	25.36	41.00	37.62
EBF3	28.93	20.31	21.20
WDR27	68.62	54.08	64.62
CERS6	200.44	185.52	117.98
IFI6	90.64	54.59	409.95
MSRB3	228.03	198.34	364.68
ZDHHC20	88.81	61.62	72.76
C20orf166-AS1	95.70	92.48	98.53
G6PC	29.40	39.27	94.91
YTHDF3	715.25	557.72	339.34
RALGAPA1	248.41	267.72	441.11
SFTA3	11.96	14.36	13.26
KCTD13	50.73	91.80	119.43
ASPHD1	90.48	68.92	368.98
G6PD	410.63	265.21	1299.73
METTL20	20.84	24.28	19.56
UBN2	183.78	327.49	122.97
LRRC43	98.24	151.66	125.23
BRWD3	15.44	24.43	92.46
EHBP1L1	63.16	85.24	148.94
SNX32	30.85	31.37	30.59
CXorf58	24.53	30.77	24.86
FBXO33	140.72	81.44	217.11
TTLL10	48.48	78.09	61.74
TSGA10IP	51.05	60.64	80.53
RNF169	105.84	138.68	140.59
FAM26E	41.61	34.86	49.53
CNIH2	71.76	71.65	79.62
AKNAD1	13.80	11.40	13.25
PHYHD1	116.25	37.83	39.64
SLC37A4	416.71	320.15	316.57
LINC00710	16.03	16.92	15.51
ZDHHC24	386.04	348.79	354.07
MCM9	21.37	11.79	13.94
GAGE1	23.29	29.38	19.43
PROSER2	204.56	493.05	301.52
SLC41A1	167.30	166.40	269.03
C11orf86	76.25	68.35	95.88
MEIOB	14.59	15.62	148.08
LPCAT4	92.19	112.95	220.75
LYG2	72.96	49.83	50.77
C8orf46	23.24	17.07	20.80
NAALADL2	11.67	10.54	11.55
TMEM256	1284.42	723.98	835.44
ZDHHC23	181.52	150.46	142.16
GAA	193.51	180.53	162.22
